coco_id,filepath,caption,total_score,detection_score,edge_score,caption_score,num_objects,num_categories,spread_score,edge_density,dense_caption
10707,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000010707.jpg,Man with video game controller in living room with onlooker seated nearby.,0.9356,0.9695,1,0.7467,15,8,1,0.0729,"Several people gather in a living room around a coffee table covered with drinks, snacks, and small items. One man stands holding a video game controller, while others sit nearby watching or participating. Sofas, warm lighting, and casual clothing create the feeling of a relaxed social evening. The group appears focused on gaming or shared entertainment, with the controller, seating arrangement, and observers forming the center of the activity."
65288,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000065288.jpg,A yellow and green object with a brown bird perched on top of it.,0.9329,0.928,1,0.8267,39,6,1,0.1339,"An ornate yellow and green decorative structure sits in the foreground, with a small brown bird perched on its top edge. Behind it, a crowd of people gathers outdoors near tables, chairs, plants, and shaded areas, suggesting a plaza, café, or public gathering space. The background is busy and social, while the bird and patterned object provide a visually distinct foreground subject. The scene combines urban outdoor activity with a small natural detail."
116208,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000116208.jpg,"A large pizza is shown on a table, with bottles and glasses of wine.",0.9317,0.9846,1,0.6933,21,7,1,0.1435,"A large pizza topped with cheese, mushrooms, and other ingredients is placed on a raised stand at the center of a restaurant table. Wine bottles, glasses, plates, utensils, and small dishes surround it, suggesting a shared meal among several diners. The pizza is viewed from above and slightly to the side, making it the main focus. The scene conveys a casual but lively dining atmosphere with food and drinks arranged for a group."
74733,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000074733.jpg,two flatbread pieces covered with different ingredients in between a flight of beers,0.9301,0.9987,1,0.6533,19,5,1,0.1008,"Two rectangular flatbread dishes topped with different ingredients are served on a wooden board beside a flight of beers. Several small glasses of beer, dipping containers, and additional drinkware are arranged around the food. The warm indoor lighting and tabletop presentation suggest a restaurant, pub, or brewery setting. The scene emphasizes a tasting experience, pairing drinks with food, and the variety of textures and colors on the table."
114907,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000114907.jpg,"A woman holding a milking attachment and standing in front of a cow, with a group of people in the audience.",0.9283,0.9,1,0.8667,16,3,1,0.1403,"A woman stands beside a large dairy cow while demonstrating or holding a milking attachment in front of a seated audience. The cow is positioned behind a metal barrier, and many people watch attentively from the foreground. The scene appears to be part of an agricultural fair, educational demonstration, or livestock exhibit. Signs and barn-like structures in the background reinforce the farming context, while the crowd suggests a public presentation."
61333,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000061333.jpg,The caramel-colored kitten is  lying on the small blanket on top of the unmade bed.,0.9283,0.9,1,0.8667,15,3,1,0.0441,"An orange tabby kitten lies curled up on a small blanket placed on top of an unmade bed. The cat appears relaxed and sleepy, with its body tucked close and its head resting near the blanket. A bookshelf filled with books lines the background, adding a cozy bedroom or study atmosphere. Warm indoor lighting and soft bedding make the scene feel quiet, domestic, and comfortable."
18837,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000018837.jpg,A large truck on a city street with two works sitting on top and one worker climbing in through door.,0.9283,0.9,1,0.8667,8,3,1,0.1505,"A large green utility truck is parked on a city street while workers perform maintenance tasks around it. One worker appears to be on top of the vehicle, and another is climbing into or standing near the door. Cars, buildings, traffic signs, and urban infrastructure surround the truck, suggesting roadwork or municipal service activity. The scene captures an active work moment in a busy street environment."
9914,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009914.jpg,"A sandwich, french fries, bowl of ketchup, onion slice, lettuce slice, tomato slice, and knife sit on the white plate.",0.927,0.9562,1,0.7333,7,5,1,0.0976,"A sandwich meal is served on a white plate with French fries, a small bowl of ketchup, sliced onion, tomato, lettuce, and a knife. The sandwich bun is topped with sesame seeds, and the fries are piled beside it. The close-up view focuses on the textures of the food and condiments rather than the surrounding restaurant. The scene suggests a casual lunch or diner-style meal ready to be eaten."
39477,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000039477.jpg,A beach towel covers a TV across from plants on the wall and in front of the window.,0.9259,0.8945,1,0.8667,15,5,1,0.0637,"A compact living room features a couch facing a television, with several plants placed near the window and on the wall. Natural light enters through a large curtained window, brightening the small room. A low table, rug, wall decorations, and shelving create a tidy residential interior. The arrangement emphasizes a cozy home entertainment space where greenery, furniture, and sunlight are carefully organized in a narrow room."
61108,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000061108.jpg,A blue bicycle with a puppy in its basket is parked next to the bleacher steps. ,0.9242,0.95,1,0.7333,9,4,1,0.0796,"A blue bicycle is parked beside outdoor bleacher steps, with a small puppy sitting inside a basket attached to the front. The bicycle rests near concrete steps and railings, suggesting a sports field, park, or recreational area. The puppy sits securely in the basket and looks outward, becoming the playful focus of the scene. The outdoor setting includes structural elements and open space around the bike."
91615,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000091615.jpg,"A kitchen has light wooden colored cabinetry, beige countertops, and stainless steel appliances in an open concept house.",0.9239,0.8902,1,0.8667,12,9,1,0.0737,"A clean modern kitchen features light wooden cabinets, beige countertops, stainless steel appliances, and a sink built into a central counter area. A microwave, oven, refrigerator, dishwasher, and decorative flowers are visible throughout the room. The space appears bright, organized, and open, with neutral colors and polished surfaces. The image highlights the layout and fixtures of a contemporary home kitchen ready for cooking or entertaining."
77396,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000077396.jpg,A cat being lazy and a cat being nozy in a living room with tv and a laptop displaying the same things.,0.9229,0.9471,1,0.7333,9,7,1,0.072,"Two cats are in a living room facing a television and a laptop displaying similar imagery. One cat stands upright near the television, appearing curious about the screen, while another cat lies on the floor nearby. The room contains a TV stand, small table, and home furnishings. The scene is humorous because the cats appear engaged with the electronic displays, creating a playful domestic moment."
119233,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000119233.jpg,A cat sprawled out over the top of a laptop computer keyboard.,0.9227,1,1,0.6133,9,6,1,0.0626,"A black-and-white cat sprawls across the keyboard area of an open laptop on a wooden desk or counter. The cat lies comfortably with its body stretched over the computer, partially blocking the screen and keyboard. Various household objects, office supplies, and plants are visible around the workspace. The scene captures a familiar pet behavior where the cat interferes with computer use while appearing relaxed and content."
2431,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002431.jpg,"A table with a plate, wine-filled glass, and bread, among other items",0.9227,1,1,0.6133,9,6,1,0.0521,"A restaurant table is set with a plate, a wine-filled glass, bread, napkins, utensils, and other dining items. The objects are arranged closely together on a wooden surface, suggesting an ongoing or prepared meal. The image is framed from above and at a slight angle, focusing on the table setting rather than the people. The scene conveys a casual but refined dining experience with wine and bread as prominent elements."
56344,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000056344.jpg,"Looking down at a desktop with two monitors, a key board, mouse and cell phones on it.",0.9219,0.8856,1,0.8667,7,5,0.9231,0.049,"A desk workstation contains two large computer monitors positioned side by side, along with a keyboard, mouse, mobile phones, and several electronic accessories. The screens display different windows or web pages, and cables and devices are spread across the desktop. The space appears dimly lit and technology-focused, suggesting software development, gaming, monitoring, or multitasking. The image emphasizes the complexity of a multi-screen computer setup."
54628,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000054628.jpg,A tall multi layer cake sitting on top of a blue table cloth.,0.9212,0.9197,1,0.7867,24,5,1,0.1122,"A tall multi-layered decorative cake stands on a table covered with a blue tablecloth inside an elegant event venue. The cake is decorated with detailed patterns, flowers, and multiple tiers, making it the centerpiece of the room. Guests, tables, chairs, and chandeliers are visible in the background, suggesting a wedding reception or formal celebration. The vertical composition emphasizes the height and ornate design of the cake."
110999,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000110999.jpg,"A painting of a bowl of fruit sitting in front of another painting,",0.921,0.9193,1,0.7867,11,8,1,0.0291,"A framed painting of a bowl of fruit hangs above a table where a real bowl of fruit and decorative objects are arranged below it. The dark background and warm lighting create a still-life atmosphere, connecting the artwork to the physical objects in front of it. Fruits such as grapes and other produce appear on the table. The scene emphasizes artistic presentation, color, and the relationship between painted and real fruit."
72795,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000072795.jpg,a group of ball players playing on a field in front of an audience,0.9203,0.9,1,0.8267,15,3,1,0.177,"Baseball players are positioned on a field during a game while a large audience watches from the stadium seats. The batter stands near home plate, with the catcher and umpire crouched behind him and other players visible on the field. The scene is viewed from the stands, giving a broad perspective of the diamond, outfield, and crowd. The image captures the atmosphere of a professional sporting event."
92091,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000092091.jpg,A little girl is using the toy brush for a chew toy rather than brushing the teddy.,0.92,1,1,0.6,9,7,1,0.1137,"A young girl wearing a bright pink dress stands inside a cozy room while holding a toy brush near a stuffed teddy bear. The room includes wooden walls, chairs, a television, artwork, and home furnishings. The child appears to be playing pretend, possibly brushing the teddy bear instead of her own hair. The scene captures a playful domestic moment with warm indoor lighting and a casual family-room setting."
108253,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000108253.jpg,there are two plates of food and a beer in the middle of the table,0.92,1,1,0.6,13,8,1,0.0645,"Two plates of food and a beer bottle are arranged on a restaurant table. The plates contain sandwiches, fries, and other side dishes, while condiments and utensils sit nearby. The bottle of beer stands prominently near the center of the table, suggesting a casual meal shared by diners. The image focuses closely on the food and drink, emphasizing a relaxed dining atmosphere with simple, hearty dishes."
80932,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000080932.jpg,A little boy sits at a table in a restaurant eating a slice of pizza.,0.92,1,1,0.6,10,6,1,0.0635,"A young boy sits at a restaurant table eating a large slice of pizza. He holds the pizza close to his mouth while leaning over a white plate, concentrating on the meal. Other diners and wooden booth seating are visible in the background, creating a busy casual restaurant environment. The warm lighting and close-up framing emphasize the child’s enjoyment of the food and the informal dining scene."
50811,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000050811.jpg,A man in a suit sitting a table with an empty bowl and empty beer bottles.,0.92,1,1,0.6,9,7,1,0.0358,"A man wearing a gray suit jacket sits alone at a wooden dining table with an empty bowl and several empty beer bottles placed in front of him. He smiles toward the camera in a simple indoor setting with a plain light-colored background. The table appears mostly cleared after a meal or gathering, and the bottles suggest drinks have already been consumed. The scene feels informal despite the man’s professional clothing."
13659,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000013659.jpg,A man typing on a laptop keyboard in a cluttered work environment.,0.9183,0.9311,1,0.7467,18,6,1,0.1009,"Several people work in a busy, cluttered office environment filled with desks, laptops, papers, cardboard boxes, and electronic equipment. A man in the foreground sits at a desk typing on a laptop while wearing headphones, and other people work in the background. The room looks informal and crowded, with many objects spread across the work areas. The scene conveys an active collaborative workspace or technical lab setting."
26465,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000026465.jpg,The opened  laptop is sitting on the table along with other technological tools.,0.918,0.9125,1,0.7867,6,6,1,0.0421,"An open laptop sits on a white tabletop surrounded by small technological tools and accessories, including a smartphone, a pen, and a compact electronic device. The laptop screen shows a dark desktop with a bright reflection near the center. The arrangement is simple and sparse compared with a full office setup, emphasizing portable computing and personal electronics. The scene appears to be an indoor workspace or classroom table."
25096,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000025096.jpg,A boy sitting in front of cake fashioned to look like a skateboard.,0.918,0.9125,1,0.7867,6,6,1,0.0721,"A young boy wearing a blue sports jersey sits at a table looking down at a cake designed to resemble a skateboard. The cake is decorated with bright colors and small details, and the boy appears focused on it as if preparing to cut or admire it. Plates, wrappers, and party items surround the table. The indoor scene suggests a birthday celebration or special event centered on the novelty dessert."
26564,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000026564.jpg,An office desk with a row of books and a desktop computer and laptop computer on the desk.,0.9173,0.8755,1,0.8667,19,6,0.9703,0.0907,"An office desk is arranged with a desktop computer, laptop, keyboard, mouse, books, papers, and a row of binders or reference materials. The monitor displays a document or screen of text, and large windows brighten the workspace. The corner desk is compact but well equipped for administrative, academic, or professional work. The scene emphasizes an organized work environment filled with reading materials and computing devices."
12670,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000012670.jpg,A large crowd of people walking around while one owns a teddy bear.,0.9165,0.9686,1,0.6533,29,5,1,0.088,"A large crowd of people walks and gathers in a busy outdoor public space, possibly a street, plaza, or festival area. The scene contains many individuals of different ages wearing colorful clothing, and one person appears to carry or hold a teddy bear among the crowd. The dense grouping of people creates a lively and slightly chaotic atmosphere. The image emphasizes social activity, movement, and urban public life."
9400,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009400.jpg,Sever people are sitting next to each other while using laptops.,0.9159,0.9434,1,0.7067,24,5,1,0.0429,"Several people sit close together around a table while using laptop computers in a dimly lit indoor environment. Multiple screens glow in front of them, and drinks, cables, and computer accessories are spread across the table. The group appears to be collaborating, studying, or working during a meeting or workshop. The low lighting and crowded arrangement create the feel of a late-night work session or informal technology gathering."
92053,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000092053.jpg,Three white dishes with three different sorts of food on them.,0.9147,1,1,0.5733,11,8,1,0.0434,"Three white plates with different dishes are arranged on a restaurant table under warm, dim lighting. The food includes various items with sauces, sides, and garnishes, and a drink sits nearby. Utensils are placed on or beside the plates, suggesting the meal is in progress. The dark background and table setting create an intimate dining atmosphere, while the composition focuses on the variety of foods being served."
74256,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000074256.jpg,Two women standing in a train station looking at their phones. ,0.9147,1,1,0.5733,13,6,1,0.1396,"Two women stand together at an outdoor train station platform while looking down at their mobile phones. One woman wears a green scarf and dark clothing, while the other wears a patterned jacket. Train station signs, tracks, buildings, and platform structures appear in the background. The women seem to be waiting for transportation while checking messages or schedules. The scene captures a casual public transit moment during daytime."
7818,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007818.jpg,An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting.,0.9145,0.9878,1,0.6,11,6,0.9513,0.0273,"A small illuminated floral display sits at the center of a dining table arranged with plates, napkins, glasses, and formal place settings. The image is softly focused with the centerpiece and table surface highlighted against a darker background. The scene appears elegant and quiet, possibly from a restaurant, wedding, or formal dinner. The composition emphasizes the decorative flowers and careful arrangement of the table setting."
109313,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000109313.jpg,A man holding a Wii game controller while standing in a living room.,0.9135,0.9617,1,0.6533,10,5,1,0.0764,"A man stands in a living room holding a Wii game controller while facing a television outside the frame. He wears casual clothes and stands among household items, toys, furniture, and a colorful floor mat. The room appears lived-in and informal, with a kitchen or dining area visible behind him. The scene captures an active moment of indoor video gaming or motion-controlled play in a family home."
116439,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000116439.jpg,A woman with a straw style hat sitting on a small row boat in the water and accessory items hanging behind her on the land area.,0.9134,0.8669,1,0.8667,12,4,1,0.1447,"A woman wearing a straw-style hat sits in a small wooden boat floating on water, surrounded by colorful fabrics and hanging accessories near the shoreline. The scene appears to take place in a riverside or floating market environment, with reflections on the water and goods displayed around the boat. The woman is partially shaded by the surrounding objects, giving the image a busy, intimate market atmosphere."
11511,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000011511.jpg,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,0.9127,0.8652,1,0.8667,10,4,1,0.1178,"A bronze sculpture of two women seated together on a bench is displayed in an outdoor public area. The figures sit close together with handbags or purses placed near their feet, and pedestrians stand or walk in the background. Strong light highlights the sculpture against a darker surrounding space, emphasizing its metallic texture and realistic human forms. The scene suggests a public artwork installed in a plaza or pedestrian area."
17714,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000017714.jpg,A banana frittata next to a plate of decoratively cut fruit and a cup of coffee.,0.9123,0.9236,1,0.7333,17,7,0.8723,0.0488,"A breakfast or brunch meal is arranged on a wooden table, including a banana frittata, a plate of decorative cut fruit, and a cup of coffee. Sunlight falls across the tabletop, casting shadows and giving the meal a bright morning feel. The dishes are neatly placed and viewed from above, highlighting the contrast between the warm food, fresh fruit, and dark coffee. The scene suggests a relaxed meal at home or a café."
15335,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000015335.jpg,"a young child, lady , and man sitting in a booth at a table",0.912,1,1,0.56,15,5,1,0.0457,"A young child sits in a restaurant booth between adults at a table, with plates, drinks, and food items visible in the dim interior. The child appears to be eating or touching their mouth, while the adults sit close on either side. Warm lighting and dark furniture create a cozy dining atmosphere. The scene captures a family or group meal in a casual restaurant setting, with the child as the central subject."
113589,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000113589.jpg,"Two containers containing quiche, a salad, apples and a banana on the side.",0.911,0.9562,1,0.6533,7,5,1,0.0673,"A healthy prepared meal is arranged in two clear food containers and a small side area, including a slice of quiche, green salad, apple slices, and a banana. The food is neatly separated and photographed from above against a plain background. The composition emphasizes balanced meal preparation, with fruit, vegetables, and a savory main item all visible. The scene looks like a packed lunch or organized meal plan."
1503,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000001503.jpg,A picture of an iMac desktop next to a Mac laptop on a desk. ,0.9104,0.8187,1,0.96,5,4,1,0.0369,"An older Apple iMac desktop computer sits on a desk beside a Mac laptop and several computer accessories. A keyboard, mouse, speakers, and monitor are arranged across the workspace, creating a technology-focused setup. The desk is positioned near a window with blinds, and the white computer hardware gives the image a clean, early-generation Apple aesthetic. The scene suggests a home office or personal computer workstation."
88848,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000088848.jpg,"Multiple pictures of fire hydrants, a woman standing near a tree, and people posing in front of a boat.",0.9104,0.9114,0.8581,1,11,5,1,0.2013,"A collage of multiple photographs shows several yellow fire hydrants, a woman standing near a tree, and people posing in front of a boat or outdoor landmark. The images are arranged together in a grid-like layout, combining different scenes into one visual composition. The subject matter suggests travel, public spaces, and casual snapshots. The collage format makes the image feel like a personal photo collection or scrapbook page."
6471,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006471.jpg,A man at bat waiting for a pitch with a catcher and umpire behind him and players from the opposing team in the dugout.,0.9088,0.916,1,0.7333,16,5,1,0.0582,"A baseball player in a white uniform stands at home plate holding a bat while waiting for a pitch. A catcher and umpire crouch behind him, and members of the opposing team sit in the dugout watching the play. The green field and stadium seating frame the action. The image captures a tense moment during a baseball game just before the batter swings or the pitcher throws."
92660,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000092660.jpg,An unbaked pizza with cheese and herbs on one half and broccoli on the second.,0.9086,0.9154,1,0.7333,17,4,1,0.1227,"An uncooked pizza topped with cheese, herbs, and broccoli sits on a round baking tray or pan. One half of the pizza appears more heavily covered with broccoli, while the other has more cheese and herbs exposed. The crust and toppings are clearly visible from above, suggesting the pizza is being prepared before baking. The kitchen counter and surrounding ingredients create a homemade food preparation scene."
