coco_id,filepath,caption,total_score,detection_score,edge_score,caption_score,num_objects,num_categories,spread_score,edge_density,Dense Caption
3934,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000003934.jpg,A young girl in the foreground and a woman in a bridal dress and other adults in the background. ,0.8897,0.9326,1,0.6,14,5,1,0.09,"A young girl in the foreground and a woman in a bridal dress and other adults in the background gather for a lively house party. The young girl, wearing a colorful hula skirt and lei, dances energetically on a shag rug, while guests chat near a sofa and a kitchen island filled with drinks."
1000,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000001000.jpg,A group of kids posing for a picture on a tennis court.,0.8771,0.8987,1,0.6133,17,4,1,0.1667,"A group of kids posing for a picture on a tennis court celebrate a successful tournament, with an older boy in a red shirt proudly holding a large trophy. The young players, outfitted in tennis gear, visors, and baseball caps, stand together on the bright blue surface near the net and a green practice wall."
2006,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002006.jpg,City bus driving through pedestrian saturated area near crosswalk.,0.8762,0.95,1,0.4933,8,4,1,0.1314,"City bus driving through pedestrian saturated area near crosswalk showcases a vibrant purple Go North East ""South Tyne"" vehicle. The digital display indicates it is route 96 heading to Metrocentre via Benson. A driver sits at the wheel while a man walks in the background along the roadside pavement."
7574,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007574.jpg,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it.",0.8721,0.8935,1,0.6,12,8,1,0.0747,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it looks cluttered with various items. Light wood cabinets line the walls above dark countertops, which hold a bottle of blue gin, blue glasses, a roll of paper towels, and miscellaneous packaging, indicating recent or ongoing preparation."
4134,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000004134.jpg,Two men standing next to each other holding hands.,0.8711,0.9388,1,0.4933,26,5,1,0.0696,"Two men standing next to each other holding hands or shaking hands smile warmly during a formal banquet or reception. The man on the right wears a pinstripe suit and yellow tie, while the man on the left wears a patterned silk shirt. Other dressed-up guests mingle around circular tables in the background."
8021,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000008021.jpg,An audience is looking at an film of a man taking that is projected onto a wall. ,0.864,0.8163,1,0.7333,7,3,0.8699,0.0274,"An audience is looking at a film of a man talking that is projected onto a wall or large screen during a conference presentation. Viewed from behind the heads of the attendees, the speaker on screen wears a business suit and tie, gesturing with his hands against a bright, colorful graphic background."
5193,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000005193.jpg,A group of people pose for a picture while a man holds two surfboards. ,0.8617,0.8883,1,0.56,9,3,0.953,0.0813,"A group of people pose for a picture while a man holds two surfboards inside what looks like a surf shop or garage. Smiling for a photographer holding a digital camera, the group includes several young boys holding up small boxes, flanked by a yellow Jedidiah surfboard and a blue O'Neill board."
6771,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006771.jpg,The woman wearing a costume among others is using a cell phone.,0.8552,0.85,1,0.6133,9,2,1,0.0565,"The woman wearing a costume among others is using a cell phone while smiling in a crowded outdoor setting. Dressed as Xena: Warrior Princess, complete with a golden headpiece and matching bracers, she talks on her phone amidst a busy crowd of convention attendees, some of whom are also in costume."
9590,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009590.jpg,A group of guys are sitting at a table eating and laughing.,0.8476,0.8924,1,0.48,29,8,0.9387,0.0791,"Five men are seated around a large dark wooden dining table inside a wood house. Several bowls, cups, plates, and food containers are scattered across the table as the group shares a meal and conversation. A man in a blue jacket and beanie is holding a small cut in his right hand and drinking while others smile and laugh. Large windows with beige curtains allow soft daylight to enter from the right side of the room. Wooden ceiling beams, sliding panel doors, and various dishes and bottles on the table create a warm indoor dining atmosphere."
4795,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000004795.jpg,A cat observing a computer screen next to a laptop and a cordless phone.,0.8407,0.6637,1,0.96,3,3,0.9299,0.0755,"A fluffy gray cat is sitting on a cluttered office desk while looking toward a large desktop computer monitor. The monitor displays a web browser with multiple windows and text visible on the screen. To the left of the cat is a partially opened white laptop computer, and to the right are a cordless telephone handset and a desk phone. Various electronic devices, cables, and office supplies are scattered across the workspace, creating a busy indoor workstation environment illuminated by bright ambient light."
9378,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009378.jpg,A man holding onto a yellow frisbee while having long hair.,0.8388,0.8314,1,0.5733,10,2,1,0.0387,"A man with long dark curly hair is wearing a black shirt and a blue patterned headband while throwing or catching a bright yellow frisbee. He extends one arm forward toward the flying disc and looks intensely in its direction. The scene appears to take place indoors under artificial lighting, with several spectators gathered in the background watching the activity. The dark background and focused pose emphasize the motion and concentration involved in the frisbee performance."
7816,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007816.jpg,A person on a motorcycles driving past a group of people behind a fence.,0.8385,0.7182,1,0.8267,11,2,0.7969,0.0699,"A motorcycle rider wearing a white racing helmet, white jacket, and dark riding pants is leaning forward while riding a white racing motorcycle along a paved road. The motorcycle appears to be traveling at speed, with the rider positioned in an aerodynamic posture. A wooden fence runs parallel to the road through a grassy countryside field. Several spectators stand and sit behind the fence watching the rider pass by. The outdoor scene takes place during daylight in a rural setting with green grass and rolling terrain in the background."
8844,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000008844.jpg,A middle aged black woman is standing behind a table full of bananas.,0.8367,0.7912,1,0.6533,7,2,0.9398,0.0405,"A middle aged Black woman with short natural hair is standing behind a wooden table piled high with bunches of ripe yellow bananas. She is smiling warmly and wearing a patterned dress with earthy tones. The scene appears to be outside a small shop or market in a sunny setting. The building behind her has a yellowish-brown stucco exterior with signs and advertisements on the walls, including an MTN logo. Other people can be seen in the background nere the doorway, adding to the lively market atmosphere."
5037,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000005037.jpg,A passenger bus pulling up to the side of a street.,0.83,0.8711,1,0.44,10,3,1,0.1146,"A large white city passenger bus with pink and purple stripes is pulling up to a designated bus stop along the side of an urban street. The front destination display reads ÒFirst Group,Ó and a red sign on the windshield advertises free Wi-Fi onboard. The bus is viewed from a front-left angle, with its headlights illuminated and doors closed. Yellow bus stop markings are painted on the roadway beside a sidewalk and curb. Brick buildings, parked vehicles, pedestrians, and flower beds are visible in the background beneath an overcast daytime sky."
632,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000000632.jpg,a bed room with a neatly made bed a window and a book shelf,0.8299,0.8176,1,0.56,18,4,0.8528,0.1267,"A cozy and well-organized bedroom features a large bed covered with a thick blue comforter in the foreground. Against the left wall sits a wooden dresser with an oval mirror, decorative items, and a potted plant on top. A large central window lets in natural daylight and reveals lush green trees outside. To the right, a tall bookshelf is filled with books and personal belongings, while several houseplants and a woven basket rest on the floor. The room has patterned wallpaper, soft carpeting, and a warm, lived-in atmosphere."
8277,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000008277.jpg,A styrofoam plate with shredded chicken and a dish of broccoli with cheese sauce.,0.8262,0.8093,1,0.56,13,3,0.6371,0.0936,"A white disposable foam plate rests on a light-colored countertop and contains a serving of shredded cooked chicken beside a black plastic bowl filled with broccoli covered in creamy yellow cheese sauce. A metal fork lies on the right side of the plate, partially tucked underneath the bowl. The meal is viewed from above, with the chicken occupying the lower portion of the plate and the broccoli dish positioned near the top. The scene is brightly lit indoors and focuses entirely on the prepared food."
6040,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000006040.jpg,An electric train is traveling down the track on a road.,0.8248,0.8002,1,0.5733,12,4,0.6487,0.1032,"A modern blue-and-white electric tram is traveling along railway tracks embedded in a city street during a sunny day. The long multi-car vehicle is viewed from the side at a slight front angle, with large windows revealing seated passengers inside. Overhead power lines stretch across the sky above the tram, while trees, utility poles, and urban structures line the roadway in the background. The tram is moving along a dedicated transit route through an outdoor urban environment."
7108,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007108.jpg,"A close up from knees up front view of an elephant with trunk forward, outside on dirt, with other elephants, grass, bushes and white-blue sky.",0.8243,0.6688,1,0.8667,5,1,1,0.0433,"A large African elephant stands prominently in the foreground, facing directly toward the camera with its long trunk extended forward and its ears spread slightly outward. Several other elephants are gathered behind it on reddish-brown dirt near a watering hole. Sparse green bushes and vegetation surround the area, while a partly cloudy blue-and-white sky stretches overhead. The image captures a close-up wildlife scene in a natural outdoor environment, emphasizing the elephantÕs textured skin, wrinkled features, and imposing presence."
5586,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000005586.jpg,A tennis player in a crowded arena waits for the next volley.,0.8241,0.8403,1,0.48,15,2,1,0.053,"A professional tennis player wearing a bright yellow shirt and dark shorts stands on a blue hardcourt tennis court, preparing to receive or return the next shot during a match. The athlete holds a tennis racket in a ready position near the baseline. The arena is filled with spectators seated in the surrounding stands, while line judges and event staff dressed in orange uniforms are positioned around the court. Advertising banners line the perimeter, and bright stadium lighting illuminates the competitive sporting event."
7281,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007281.jpg,Two people on horseback are posing while the horses gallop on a beach shore.,0.8212,0.739,1,0.6933,12,2,0.9918,0.0732,"Two riders dressed in light-colored traditional clothing and head coverings gallop along a sandy beach on horseback near the shoreline. One person rides a white horse while the other rides a brown horse, and both appear to be posing or celebrating as they race side by side. The ocean stretches across the background beneath a partly cloudy sky, while beachgoers can be seen in the distance near the water. Dust and sand are kicked up behind the horses, emphasizing their speed and motion in the coastal setting."
7511,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000007511.jpg,Man flying a kite on the beach while others run along the sand.,0.8184,0.7506,1,0.6533,17,3,0.9453,0.0841,"A man wearing a black shirt and blue jeans stands on a wide sandy beach while flying a colorful kite high in the sky. The shoreline curves along the left side of the scene beside calm blue water. Several other people are walking, running, or relaxing on the beach in the distance. Trees and buildings line the far background, and a partly cloudy sky stretches overhead. The man faces away from the camera with his arms extended as he controls the kite in the coastal breeze."
9483,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000009483.jpg,"A man by desk with mixing equipment, a keyboard and a computer monitor.",0.8173,0.748,1,0.6533,6,4,0.8074,0.0421,"A man dressed in a dark suit stands beside a long desk inside a bright office or control room. On the desk are audio or video mixing equipment, a computer keyboard, a mouse, and a desktop computer connected to a monitor displaying a room interior. Behind him, a large observation window looks into another room furnished with several chairs and a table. Electrical cables and electronic devices are visible beneath and around the workstation, giving the space a professional technical or monitoring environment."
139,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000000139.jpg,A woman stands in the dining area at the table.,0.8163,0.8585,1,0.4,20,10,0.9461,0.0515,"A woman stands beside a dining table in a bright, modern open-concept living and dining room. Large windows along the wall allow natural sunlight to fill the space, illuminating wooden floors and light-colored walls. Several chairs surround the dining table, which is decorated with plants and glassware. In the foreground, a living area contains a television mounted on a media console, while a modern fireplace and kitchen cabinetry are visible on the right side of the room. The scene conveys a warm and tidy residential interior during daytime."
5992,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000005992.jpg,A herd of sheep standing on top of a green grass covered yard.,0.8078,0.6677,1,0.7867,5,1,0.996,0.0722,"Several woolly sheep stand together on a grassy patch beside a brick building in a farm setting. The animals have thick, curly fleece in shades of cream, white, and brown, with one sheep facing directly toward the camera while others stand at different angles nearby. Sunlight illuminates parts of the scene, creating shadows across the grass and highlighting the texture of their wool. Farm equipment, fencing, and open outdoor space are visible in the background, reinforcing the rural agricultural environment."
885,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000000885.jpg,Someone playing in a tennis tournament with a crowd looking on.,0.8018,0.7491,1,0.5733,9,2,1,0.0406,"A professional tennis player dressed in a white shirt, white shorts, and a white cap stretches forward to strike a ball during a competitive match on a hardcourt tennis court. The athlete holds a red-and-white tennis racket and is captured in motion near the baseline. Behind the player, a ball attendant and tournament officials stand along the court boundary, while spectators watch from the stadium seating above. Large sponsor advertisements, including J.P. Morgan and Polo signage, are displayed on the surrounding blue walls. Bright sunlight casts distinct shadows across the court, emphasizing the outdoor tournament atmosphere."
1584,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000001584.jpg,a red double decker bus that is in the middle of the road,0.8003,0.7696,1,0.52,14,2,1,0.0738,"A bright red double-decker city bus travels along a paved urban roadway surrounded by modern buildings and trees. The bus is viewed from a front-left angle and displays route number 15 with the destination Aldwych on its front signage. Large advertisement panels are mounted along the upper deck, while passengers can be seen through the windows. Other vehicles, including another bus, are visible farther down the street. The scene takes place during daylight in a busy metropolitan environment, and the iconic vehicle dominates the center of the image."
3661,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000003661.jpg,A bunch of bananas sitting on top of a wooden table.,0.7979,0.6813,1,0.7067,3,3,1,0.0205,"A small bunch of ripe yellow bananas rests on a smooth wooden desk in an indoor office or workspace setting. The bananas are stacked on top of one another and viewed from a low, close-up angle that emphasizes their curved shape and textured peel. In the background, a computer keyboard, monitor, and a large disposable cup are partially visible but slightly out of focus. The scene is illuminated by indoor lighting, with the bananas occupying most of the foreground and drawing the viewerÕs attention."
2923,/Users/sophiahuang/fiftyone/coco-2017/validation/data/000000002923.jpg,A couple of birds walk through a field of tall grass near a sail boat harbor.,0.7935,0.6595,1,0.7333,7,2,0.9836,0.0278,"Two white birds walk across a wide field of tall green marsh grass in a coastal wetland environment. In the distance, a harbor contains several fishing boats and docked vessels with tall masts and rigging structures. The horizon stretches across the background beneath a cloudy sky filled with thick gray and white clouds. The birds are positioned in the foreground, while the boats and harbor facilities occupy the far background, creating a peaceful waterside landscape with strong depth and open space."
